Current_Table,New_Table
CES_ERP.FSCM_PROD_PARTIESANALYTICS.CUSTOMER_ACCOUNT,"{{source('CES_ERP_FSCM_PARTIESANALYTICS','CUSTOMER_ACCOUNT')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_XLABICCEXTRACT.SUBLEDGER_JOURNAL_LINE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_XLABICCEXTRACT','SUBLEDGER_JOURNAL_LINE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_ARBICCEXTRACT.TRANSACTION_DISTRIBUTION_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_ARBICCEXTRACT','TRANSACTION_DISTRIBUTION_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_XLABICCEXTRACT.SUBLEDGER_JOURNAL_HEADER_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_XLABICCEXTRACT','SUBLEDGER_JOURNAL_HEADER_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.FISCAL_CALENDAR_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','FISCAL_CALENDAR_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINFUNBUSINESSUNITS.BUSINESS_UNIT_PVO,"{{source('CES_ERP_FSCM_FINFUNBUSINESSUNITS','BUSINESS_UNIT_PVO')}}"
CES_ERP.FSCM_PROD_PARTIESANALYTICS.CUST_ACCOUNT_SITE_USE,"{{source('CES_ERP_FSCM_PARTIESANALYTICS','CUST_ACCOUNT_SITE_USE')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_ARBICCEXTRACT.TRANSACTION_TYPE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_ARBICCEXTRACT','TRANSACTION_TYPE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_ANALYTICSSERVICE.CURRENCIES_PVO,"{{source('CES_ERP_FSCM_ANALYTICSSERVICE','CURRENCIES_PVO')}}"
CES_ERP.FSCM_PROD_PARTIESANALYTICS.PERSON,"{{source('CES_ERP_FSCM_PARTIESANALYTICS','PERSON')}}"
