Sheet Names
01 Refund Point >
CRP_COLLECTION_HDR
CRP_COLLECTION_DTL
CRP_CLAIM
CRP_INVENTORY
CRP_SHIPPING_MANIFEST
04 bm
BM_SALES_VOLUME
BM_EXPORT_VOLUME
BM_STAT_DEC
06 processor
PROCESSOR_INVENTORY
PROCESSOR_VOLUME
PROCESSOR_CLAIMS
PROCESSOR_RECEIPT
07 Auction >
AUCTION_EVENT_LOT
AUCTION_MANIFEST_DELIVERY
AUCTION_BID
AUCTION_MANIFEST
08 finance
PYMT_AMOUNT
PYMT_STATUS
FIN_PAYMENT
